date,p_icln,p_pbd,v_icln,v_pbd
6-Jan-19,8.89,11.03,0.37164,71.65
13-Jan-19,8.95,11.14,0.18467,29.07
20-Jan-19,9.21,11.46,0.37307,32.92
27-Jan-19,9.5,11.69,0.97424,39.01
3-Feb-19,9.38,11.67,0.50727,42.74
10-Feb-19,9.6,11.94,0.35813,22.64
17-Feb-19,9.77,12.36,0.43777,51.74
24-Feb-19,9.69,12.36,1.59,55.65
3-Mar-19,9.5,11.89,0.79438,23.26
10-Mar-19,9.83,12.17,0.63941,30.31
17-Mar-19,9.64,11.95,0.77638,21.96
24-Mar-19,9.76,11.97,0.88316,19.62
31-Mar-19,10.1,12.4,0.70082,21.77
7-Apr-19,10.02,12.39,0.57614,22.69
14-Apr-19,10.1,12.48,0.45956,19.91
21-Apr-19,10.12,12.4,0.63186,14.08
28-Apr-19,10.22,12.47,1.31,15.75
5-May-19,10.08,12.19,0.85987,24.96
12-May-19,9.88,11.97,0.75554,14.81
19-May-19,9.9,11.9,0.55467,19.45
26-May-19,9.99,11.76,0.79497,19.25
2-Jun-19,10.41,12.15,1.09,23.65
9-Jun-19,10.42,12.19,1.08,20.99
16-Jun-19,10.61,12.54,1.37,19.29
23-Jun-19,10.64,12.55,2.08,50.8
30-Jun-19,10.85,12.7,1.67,25.97
7-Jul-19,10.78,12.66,1.04,18.45
14-Jul-19,10.8,12.63,1.24,22.19
21-Jul-19,10.74,12.54,0.75643,20.85
28-Jul-19,10.77,12.44,1.25,18.88
4-Aug-19,10.94,12.32,2.91,39.74
11-Aug-19,10.78,11.92,1.2,24.33
18-Aug-19,10.69,11.84,1.27,23.04
25-Aug-19,10.87,12.07,2.21,27.47
1-Sep-19,11,12.26,1.47,9.46
8-Sep-19,11.02,12.48,1.3,28.48
15-Sep-19,11.38,12.65,2.05,21.42
22-Sep-19,10.83,12.13,2.15,29.51
29-Sep-19,11.05,12.19,2.53,17.82
6-Oct-19,11.04,12.32,1.46,29.45
13-Oct-19,10.95,12.46,1.93,30.06
20-Oct-19,10.83,12.56,1.25,21.95
27-Oct-19,10.7,12.68,1.94,15.29
3-Nov-19,10.59,12.84,2.45,27.85
10-Nov-19,10.75,13.06,1.77,29.39
17-Nov-19,10.6,13,1.06,23.52
24-Nov-19,11.01,13.18,1.05,28.74
1-Dec-19,11.22,13.41,1.86,66.71
8-Dec-19,11.38,13.68,1.47,39.29
15-Dec-19,11.62,14.07,2.03,40.76
22-Dec-19,11.77,14.16,1.51,52
29-Dec-19,11.87,14.43,1.32,81.97
5-Jan-20,11.95,14.68,2.92,175.52
12-Jan-20,12.49,15.4,4.73,243.91
19-Jan-20,12.43,15.25,2.93,82.42
26-Jan-20,12.12,14.76,6.36,137.7
2-Feb-20,12.76,15.49,6.41,126.44
9-Feb-20,13.34,16.23,4.34,279.97
16-Feb-20,14.11,16.74,8.26,147.02
23-Feb-20,12.56,14.65,8.98,188.21
1-Mar-20,12.74,14.97,6.66,290.05
8-Mar-20,9.96,12.91,7.5,283.56
15-Mar-20,8.69,10.22,4.27,192.47
22-Mar-20,9.49,11.45,4.27,171.09
29-Mar-20,9.2,11.11,4.16,176.43
5-Apr-20,10.51,12.51,3.12,91.28
12-Apr-20,10.52,12.77,2.94,96.8
19-Apr-20,10.19,12.73,3.17,66.55
26-Apr-20,10.39,12.9,3.18,139.61
3-May-20,11.13,13.76,2.2,75.66
10-May-20,10.79,13.17,2.38,64.24
17-May-20,11.33,13.7,2.02,41.67
24-May-20,11.92,14.48,2.53,43.22
31-May-20,12.59,15.56,3.04,51.88
7-Jun-20,12.08,15.07,3.81,38.35
14-Jun-20,12.29,15.47,3.8,43.55
21-Jun-20,12.01,15.21,3.01,92.16
28-Jun-20,12.86,16.29,3.24,28.95
5-Jul-20,13.56,17.32,4.11,95.24
12-Jul-20,14.21,17.83,5.34,97.33
19-Jul-20,14.43,18.03,5.87,140.64
26-Jul-20,14.4,18.09,5.09,171.59
2-Aug-20,15.88,19.35,7.73,225.46
9-Aug-20,16.1,19.67,10.29,218.26
16-Aug-20,16.29,19.83,8.29,312.01
23-Aug-20,17.2,20.92,12.07,187.14
30-Aug-20,16.1,20.07,17.25,235.94
6-Sep-20,16.19,20.08,9,114.83
13-Sep-20,16.72,21.13,8.58,246.54
20-Sep-20,16.8,20.49,9.72,148.01
27-Sep-20,19.08,22.49,14.19,488.42
4-Oct-20,21.4,24.7,28.3,437.45
11-Oct-20,20.89,24.45,16.8,372.08
18-Oct-20,20.22,23.96,18.24,363.14
25-Oct-20,19.56,22.97,23.2,393.81
1-Nov-20,21.45,25.72,27.71,535.26
8-Nov-20,21.7,26.54,28.82,587.87
15-Nov-20,22.09,27.95,16.58,769.01
22-Nov-20,23.59,30.36,19.42,1350
29-Nov-20,23.01,29.59,22.32,642.51
6-Dec-20,23.63,29.76,17.02,623.91
13-Dec-20,25.91,32.29,28.86,727.23
20-Dec-20,27.71,34.43,24.41,775.16
27-Dec-20,28.24,34.75,23.66,667.83
3-Jan-21,33.16,39.71,81.84,2340
10-Jan-21,30.56,37.65,55.73,2710
17-Jan-21,32.9,40.71,36.64,1270
24-Jan-21,29.8,36.9,51.84,1990
31-Jan-21,31.18,38.95,35.81,1790
7-Feb-21,30.32,39.35,29.76,1080
14-Feb-21,28.49,37.1,33.92,941.5
21-Feb-21,25.85,33.8,54.86,1400
28-Feb-21,22.97,30.5,51.69,1510
7-Mar-21,25.45,33.44,41.73,1010
14-Mar-21,23.34,31.79,38.95,970.06
21-Mar-21,22.96,30.88,37.64,658.3
28-Mar-21,24.18,32.58,35.66,695.39
4-Apr-21,23.47,31.76,30.64,771.12
11-Apr-21,23.82,30.88,33.01,575.99
18-Apr-21,24.5,31.39,32.81,560.58
25-Apr-21,23.24,30.46,28.88,507.83
2-May-21,22.04,28.61,38.02,799.58
9-May-21,21.6,27.37,35.54,795.35
16-May-21,22.58,28.82,26.63,381.37
23-May-21,22.92,29.7,17.61,437.85
30-May-21,22.3,29.91,20.17,273.47
6-Jun-21,22.53,30.21,16.48,260.59
13-Jun-21,22.41,29.6,19.17,502.43
20-Jun-21,23.05,30.58,17.31,275.79
27-Jun-21,23.49,30.8,20.07,510.31
4-Jul-21,23.22,30.37,15.32,323.69
11-Jul-21,22.1,28.56,23.77,621.58
18-Jul-21,22.56,29.25,22.94,314.86
25-Jul-21,22.71,29.62,21.21,356.41
1-Aug-21,22.92,29.35,14.15,304.52
8-Aug-21,22.6,29.06,16.61,273.73
15-Aug-21,22.68,28.03,18.7,348.71
22-Aug-21,23.12,29.31,13.36,336.35
29-Aug-21,23.6,30.08,12.59,236.26
5-Sep-21,22.57,29.39,13.86,208.78
12-Sep-21,22.52,29.39,22.64,1270
19-Sep-21,22.25,28.81,21.38,339.28
26-Sep-21,21.77,28,16.63,663
3-Oct-21,21.34,26.65,22.6,1660
10-Oct-21,22.93,28.73,31.12,1120
17-Oct-21,23.56,29.36,16.26,279.42
24-Oct-21,25.27,31.31,27.19,441.69
31-Oct-21,24.28,31.44,31.27,408.15
7-Nov-21,25.08,32.33,26.89,306.56
14-Nov-21,24.69,31.14,21.05,258.36
21-Nov-21,23.6,29.71,22,295.17
28-Nov-21,21.95,27.45,34.88,447.8
5-Dec-21,22.19,28.1,26.97,412.98
12-Dec-21,21.22,26.8,37.23,545.03
19-Dec-21,21.24,27.02,24.6,820.72
26-Dec-21,21.17,26.83,27.41,545.94
2-Jan-22,19.66,25.17,29.23,529.68
9-Jan-22,19.45,24.61,27.91,287.59
16-Jan-22,18.3,22.4,33.77,330.71
23-Jan-22,17.76,20.88,46.28,609.63
30-Jan-22,18.34,21.72,29.53,485.79
6-Feb-22,17.97,21.51,25.4,373.11
13-Feb-22,18.14,21.45,24.25,422.66
20-Feb-22,19.44,22.24,32.06,308.13
27-Feb-22,19.42,21.84,41.64,277.79
6-Mar-22,21.48,23.92,11.95,48.22
